longitude,latitude,rssi
-95.28416127,29.7064392,-88
-95.28455515,29.70645258,-87
-95.28490786,29.70645977,-89
-95.28509594,29.70646572,-82
-95.28528211,29.70647059,-86
-95.28703444,29.70647898,-80
-95.2872309,29.7064756,-80
-95.28731418,29.70647676,-84
-95.28757333,29.70647536,-85
-95.28767718,29.70647569,-82
-95.28789422,29.70646366,-79
-95.28810193,29.70645649,-78
-95.28853124,29.70633963,-80
-95.28862195,29.70629568,-79
-95.28872294,29.70624347,-79
-95.28881365,29.70619168,-77
-95.28890435,29.70613989,-80
-95.28898381,29.70607622,-82
-95.28914178,29.70593661,-86
-95.28921095,29.70586551,-80
-95.28937254,29.70559246,-73
-95.28941923,29.70550545,-62
-95.28953604,29.70535181,-61
-95.2896679,29.70529837,-67
-95.28968848,29.70529754,-71
-95.28968848,29.70529754,-69
-95.28968848,29.70529754,-71
-95.28968848,29.70529754,-70
-95.28968753,29.70529309,-78
-95.28970811,29.70528443,-62
-95.28975384,29.70516947,-68
-95.28985369,29.70489888,-65
-95.28993601,29.70489558,-58
-95.29012313,29.70488923,-54
-95.29033083,29.70486638,-52
-95.29053757,29.70483908,-52
-95.29064047,29.70481929,-47
-95.29074337,29.70480733,-41
-95.29084627,29.70478754,-40
-95.29105206,29.70475579,-34
-95.29115591,29.70474044,-32
-95.29124852,29.7047289,-30
-95.29143468,29.70471809,-29
-95.29152729,29.70469871,-47
-95.2916199,29.70468716,-50
-95.29171251,29.70468345,-50
-95.29181636,29.70468378,-53
-95.29192116,29.70468072,-46
-95.2920353,29.70468064,-52
-95.29235714,29.70468121,-57
-95.29247128,29.70468113,-59
-95.29269956,29.70468879,-68
-95.2928137,29.70468871,-75
-95.29312525,29.70469753,-69
-95.29333295,29.70469818,-80
-95.2934368,29.70469067,-72
-95.29354065,29.704691,-70
-95.2937371,29.70467978,-80
-95.29391393,29.70467384,-79
-95.2939972,29.70467499,-81
-95.29423673,29.70467885,-79
-95.29430971,29.70468042,-81
-95.29436306,29.70468726,-81
-95.29437335,29.70468685,-80
-95.29440708,29.70475381,-81
-95.29387909,29.70544585,-91
-95.29370226,29.7054518,-83
-95.29361899,29.70545848,-85
-95.29345244,29.70546401,-82
-95.29327561,29.70546212,-77
-95.29298464,29.70546032,-83
-95.29289108,29.70545958,-74
-95.29269367,29.70545851,-79
-95.29259077,29.70546263,-74
-95.29249721,29.70546189,-65
-95.29239431,29.70546602,-72
-95.29196767,29.70545283,-69
-95.29185353,29.70545291,-58
-95.29164678,29.70547238,-57
-95.29146061,29.70549102,-71
-95.29118183,29.70552121,-58
-95.29107893,29.70553317,-59
-95.29086285,29.70556533,-70
-95.29075995,29.70557729,-65
-95.29065705,29.70559708,-61
-95.2905532,29.70560459,-66
-95.29025289,29.70562331,-63
-95.29001432,29.70563172,-68
-95.28997316,29.70564121,-79
-95.28986664,29.70577093,-71
-95.2898958,29.70591987,-72
-95.28993524,29.70607624,-68
-95.2899503,29.70615293,-69
-95.28998879,29.70628918,-80
-95.29000098,29.70632901,-79
-95.29000289,29.70636142,-77
-95.29011989,29.70641387,-69
-95.29029672,29.70640793,-67
-95.29056521,29.70639383,-64
-95.29076167,29.70636694,-68
-95.29094689,29.70633601,-80
-95.29139964,29.70627086,-81
-95.2915961,29.70625181,-71
-95.29168966,29.70624471,-72
-95.29216681,29.70619654,-72
-95.29225008,29.70619769,-79
-95.29235393,29.70619018,-80
-95.2924999,29.70619331,-81
-95.29256164,29.70619867,-83
-95.2926552,29.70619941,-80
-95.29275905,29.70619974,-79
-95.29285261,29.70620048,-87
-95.29321752,29.70621614,-84
-95.29345705,29.70622001,-84
-95.29422421,29.70621619,-90
-95.29439076,29.70622633,-87
-95.29382446,29.70699606,-87
-95.29357559,29.70700489,-90
-95.29348203,29.70700415,-81
-95.29328366,29.70700647,-84
-95.29312741,29.70700376,-84
-95.29281585,29.70701844,-86
-95.29256794,29.70703173,-81
-95.29252583,29.70702892,-83
-95.29197665,29.70702514,-86
-95.29175866,29.70703273,-82
-95.29164547,29.70703726,-85
-95.29159307,29.70703487,-82
-95.29131333,29.70704494,-79
-95.2909307,29.7070748,-82
-95.29077635,29.70709665,-80
-95.2906725,29.70710416,-82
-95.29062105,29.70711405,-75
-95.29047604,29.70712321,-80
-95.29037314,29.70713517,-82
