##################################################################################
## Machine-generated calibration file for WSD Daughtercard
##   (because I dont hate myself)
##
## Date:	January 24, 2014:  5:46PM
## Serial:	0x0001F
## Version:	3
## Created By: WARPLab based RF-Loopback BB Calibration
##################################################################################

##################################################################################
@@BAND 00
##################################################################################
@@TX_LOFT ############################################
# Gain, TX_I, TX_Q
641, 0x3CB9002F, 0x3F7EC219, 0x3F7A38AE # MP={-0.02, 1.30}
653, 0x3CB9002F, 0x3F7EC219, 0x3F7A38AE # MP={-0.02, 1.30}
665, 0x3CD574CF, 0x3F7EBC89, 0x3F795FB7 # MP={-0.02, 1.50}
677, 0x3CB9002F, 0x3F7EC219, 0x3F7A38AE # MP={-0.02, 1.30}
689, 0x3CD574CF, 0x3F7EBC89, 0x3F795FB7 # MP={-0.02, 1.50}
701, 0x3CD574CF, 0x3F7EBC89, 0x3F795FB7 # MP={-0.02, 1.50}
713, 0x3CD574CF, 0x3F7EBC89, 0x3F795FB7 # MP={-0.02, 1.50}
725, 0x3CE3AEE1, 0x3F7EB975, 0x3F78F3CA # MP={-0.02, 1.60}
737, 0x3CF1E8C6, 0x3F7EB62D, 0x3F78883C # MP={-0.02, 1.70}
749, 0x3D00113D, 0x3F7EB2B3, 0x3F781D0C # MP={-0.02, 1.80}
761, 0x3D072DFE, 0x3F7EAF06, 0x3F77B23A # MP={-0.02, 1.90}
773, 0x3D0E4AA3, 0x3F7EAB26, 0x3F7747C5 # MP={-0.02, 2.00}

@@RX_LOFT ############################################
# RX_I, RX_Q
0x16, 0x29 # stdIQ={25.70,31.12}

##################################################################################
@@BAND 01
##################################################################################
@@TX_LOFT ############################################
# Gain, TX_I, TX_Q
00, 0x56, 0x87# MP={0.46, -5.20}
01, 0x58, 0x85# MP={0.32, -7.80}
02, 0x57, 0x86# MP={0.28, -7.30}
03, 0x56, 0x86# MP={0.32, -7.50}
04, 0x58, 0x85# MP={0.25, -8.30}
05, 0x57, 0x85# MP={0.29, -8.70}
06, 0x57, 0x84# MP={0.18, -6.10}
07, 0x58, 0x86# MP={0.22, -7.20}
08, 0x57, 0x84# MP={0.31, -7.90}
09, 0x57, 0x84# MP={0.28, -7.60}
10, 0x58, 0x84# MP={0.23, -6.50}
11, 0x57, 0x82# MP={0.33, -7.90}
12, 0x57, 0x84# MP={0.30, -8.40}
13, 0x56, 0x82# MP={0.29, -7.70}
14, 0x57, 0x82# MP={0.31, -7.20}
15, 0x59, 0x81# MP={0.28, -8.30}
16, 0x57, 0x84# MP={0.31, -7.90}
17, 0x57, 0x82# MP={0.32, -7.40}
18, 0x59, 0x82# MP={0.32, -8.00}
19, 0x59, 0x82# MP={0.32, -8.10}
20, 0x58, 0x7D# MP={0.34, -7.70}
21, 0x56, 0x7D# MP={0.34, -7.60}
22, 0x57, 0x7F# MP={0.33, -8.10}
23, 0x58, 0x7B# MP={0.37, -7.60}
24, 0x5A, 0x78# MP={0.35, -7.90}
25, 0x59, 0x7B# MP={0.34, -7.90}

@@TX_IQ_IMBALANCE #####################################
# FREQ_MHz, SIN, COS, GAIN
2412, 0xBE1A7955, 0x3F896475, 0x3F6E5FD5 # MP={0.35, -8.00}
2417, 0xBE1A7955, 0x3F896475, 0x3F6E5FD5 # MP={0.35, -8.00}
2422, 0xBE1A7955, 0x3F896475, 0x3F6E5FD5 # MP={0.35, -8.00}
2427, 0xBE1A7955, 0x3F896475, 0x3F6E5FD5 # MP={0.35, -8.00}
2432, 0xBE18E833, 0x3F89BE22, 0x3F6DC490 # MP={0.36, -7.90}
2437, 0xBE1AD47E, 0x3F89B58A, 0x3F6DD368 # MP={0.36, -8.00}
2442, 0xBE1C084A, 0x3F890AE7, 0x3F6EFBB0 # MP={0.34, -8.10}
2447, 0xBE1D1D2C, 0x3F89FE16, 0x3F6D564F # MP={0.37, -8.10}
2452, 0xBE1CC0AA, 0x3F89ACD6, 0x3F6DE272 # MP={0.36, -8.10}
2457, 0xBE1FC649, 0x3F8A9846, 0x3F6C4E21 # MP={0.39, -8.20}
2462, 0xBE17DABC, 0x3F88CB64, 0x3F6F6AB4 # MP={0.33, -7.90}
2467, 0xBE145FEF, 0x3F892CE8, 0x3F6EC06B # MP={0.34, -7.70}
2472, 0xBE13229D, 0x3F89D745, 0x3F6D992E # MP={0.36, -7.60}
2484, 0xBE118B8C, 0x3F8A30CC, 0x3F6CFF2B # MP={0.37, -7.50}

@@RX_IQ_IMBALANCE #####################################
# FREQ_MHz, SIN, COS, GAIN
2412, 0xBCF6DEBA, 0x3F757C41, 0x3F83EA2A # MP={-0.18, -1.80}
2417, 0xBCB38B87, 0x3F773ED1, 0x3F82CE46 # MP={-0.15, -1.30}
2422, 0xBCC0E8AA, 0x3F76AAA5, 0x3F83063F # MP={-0.16, -1.40}
2427, 0xBC8AC101, 0x3F7869A7, 0x3F822494 # MP={-0.13, -1.00}
2432, 0xBCF7706B, 0x3F760D20, 0x3F83EC95 # MP={-0.17, -1.80}
2437, 0xBCC0E8AA, 0x3F76AAA5, 0x3F83063F # MP={-0.16, -1.40}
2442, 0xBCC0E8AA, 0x3F76AAA5, 0x3F83063F # MP={-0.16, -1.40}
2447, 0xBCEB510B, 0x3F77C521, 0x3F83B91B # MP={-0.14, -1.70}
2452, 0xBCF80271, 0x3F769E55, 0x3F83EF02 # MP={-0.16, -1.80}
2457, 0xBCE9B258, 0x3F76107C, 0x3F83B23D # MP={-0.17, -1.70}
2462, 0xBC9A6521, 0x3F7B47FA, 0x3F82575B # MP={-0.08, -1.10}
2467, 0xBCF92780, 0x3F77C1BF, 0x3F83F3E1 # MP={-0.14, -1.80}
2472, 0xBCD01E20, 0x3F785D8C, 0x3F83462C # MP={-0.13, -1.50}
2484, 0xBC9846D3, 0x3F77D55D, 0x3F825CA5 # MP={-0.14, -1.10}

@@RX_LOFT ############################################
# RX_I, RX_Q
0x1C, 0x2E # stdIQ={30.57,32.42}

